Codigo,Descripcion,Existencias,Costo total
"N-0050","RUEDA PARA FREIDORA 5""",2.0000,18486.00
"N-0051","Rodachinas con soporte 8""",-4.0000,-201680.00
"N-0052","VÁLVULA HUMCAR ",4.0000,36976.00
"N-0053","Fibras nacionales 1/2""",2.0000,23682.00
"N-0054","Cable encauchetado 3x14",10.0000,30360.00
"N-0055","Manguera servicio general roja",3.0000,30147.00
"N-0060","Clavija polo a tierra 15A",12.0000,33888.00
"N-043","Eje trasero",1.0000,10000.00
"N-049","Llaves push",5.0000,622690.00
"N-050","Llaves Push",-1.0000,-124538.00
"N-051","Toma aéreo",12.0000,38136.00
"N0012","Gancho para reja",0.0000,0.00
"N16111","Pin eje trasero",6.0000,24192.00
"N16121","Pin eje delantero",1.0000,4116.00
"PB15","Bombillo pin -pon  15W incandescente",21.0000,31773.00
"PM001","PINCHADOR BARRIL TIPO A FLACH",-1.0000,0.00
"PM011","RACOR GIRATORIO PINCHADOR 3/8 ROSCA 3/8",2.0000,0.00
"PM026","PINCHADOR BARRIL TIPO D DRAUGHT CON VALVULA",0.0000,0.00
"PM029","PINCHADOR PRODUCTO PRE-MIX 7/16 UNF",2.0000,0.00
"PM030","PINCHADOR GAS PRE-MIX 7/16 UNF",2.0000,0.00
"PNT-01","PINTURA VINILO BLANCO T1 X GALON",1.0000,64800.00
"R02-08-101","Resistencia estación francesa 24""",0.0000,0.00
"RB11618","RacorB-116 1/8",2.0000,6722.00
"RF-24901","Racor -109",2.0000,5042.00
"SD-10060","Soporte eje tapa sanduchera",1.0000,37500.00
"T-01","Toma eléctrico",0.0000,0.00
"TC008","TUBO LUPULUS III SK D 6.7X9.5MM 100M",6.0000,0.00
"TG010","TUBO FLEXLAYER SK D 4X8MM 100M ROJO",8.6600,0.00
"VM15547","DRIVE SOCKET ACOPLE HONGO VITAMIX",2.0000,100000.00
"VM15753","Pulse Switch Vitamix",0.0000,0.00
"VM15754","LIGHTED MOMENTARY SWITCH INTERRUPTOR BLANCO Y NEGRO		",0.0000,0.00
"VM15985","TAPA LICAUDORA VITAMIX TRIANGULAR",0.0000,0.00
"VR8345M4302","Válvula 24V para gas Nat/GLP",0.0000,0.00
